Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Desc_superficie,Superficie_m2
2017,9,Sant Andreu,62,el Congrés i els Indians,31-60 m²,1810
2017,9,Sant Andreu,63,Navas,31-60 m²,1917
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,31-60 m²,6143
2017,10,Sant Martí,65,el Clot,31-60 m²,2777
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,31-60 m²,1429
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,31-60 m²,1010
2017,10,Sant Martí,68,el Poblenou,31-60 m²,5219
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,31-60 m²,822
2017,10,Sant Martí,70,el Besòs i el Maresme,31-60 m²,3585
2017,10,Sant Martí,71,Provençals del Poblenou,31-60 m²,1340
2017,10,Sant Martí,72,Sant Martí de Provençals,31-60 m²,1787
2017,10,Sant Martí,73,la Verneda i la Pau,31-60 m²,3149
2017,1,Ciutat Vella,1,el Raval,61-90 m²,6583
2017,1,Ciutat Vella,2,el Barri Gòtic,61-90 m²,2988
2017,1,Ciutat Vella,3,la Barceloneta,61-90 m²,1743
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",61-90 m²,4297
2017,2,Eixample,5,el Fort Pienc,61-90 m²,7897
2017,2,Eixample,6,la Sagrada Família,61-90 m²,14549
2017,2,Eixample,7,la Dreta de l'Eixample,61-90 m²,7376
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,61-90 m²,9228
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,61-90 m²,14429
2017,2,Eixample,10,Sant Antoni,61-90 m²,9907
2017,3,Sants-Montjuïc,11,el Poble Sec,61-90 m²,8355
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,61-90 m²,298
2017,3,Sants-Montjuïc,13,la Marina de Port,61-90 m²,8720
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,61-90 m²,2843
2017,3,Sants-Montjuïc,15,Hostafrancs,61-90 m²,3861
2017,3,Sants-Montjuïc,16,la Bordeta,61-90 m²,5693
2017,3,Sants-Montjuïc,17,Sants - Badal,61-90 m²,6255
2017,3,Sants-Montjuïc,18,Sants,61-90 m²,10417
2017,4,Les Corts,19,les Corts,61-90 m²,10294
2017,4,Les Corts,20,la Maternitat i Sant Ramon,61-90 m²,5756
2017,4,Les Corts,21,Pedralbes,61-90 m²,779
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",61-90 m²,891
2017,5,Sarrià-Sant Gervasi,23,Sarrià,61-90 m²,4312
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,61-90 m²,1131
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,61-90 m²,2743
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,61-90 m²,5433
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,61-90 m²,5438
2017,6,Gràcia,28,Vallcarca i els Penitents,61-90 m²,4126
2017,6,Gràcia,29,el Coll,61-90 m²,1996
2017,6,Gràcia,30,la Salut,61-90 m²,2880
2017,6,Gràcia,31,la Vila de Gràcia,61-90 m²,13266
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,61-90 m²,9800
2017,7,Horta-Guinardó,33,el Baix Guinardó,61-90 m²,6722
2017,7,Horta-Guinardó,34,Can Baró,61-90 m²,2227
2017,7,Horta-Guinardó,35,el Guinardó,61-90 m²,9523
2017,7,Horta-Guinardó,36,la Font d'en Fargues,61-90 m²,2205
2017,7,Horta-Guinardó,37,el Carmel,61-90 m²,6750
2017,7,Horta-Guinardó,38,la Teixonera,61-90 m²,2588
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,61-90 m²,2703
2017,7,Horta-Guinardó,40,Montbau,61-90 m²,1440
2017,7,Horta-Guinardó,41,la Vall d'Hebron,61-90 m²,1529
2017,7,Horta-Guinardó,42,la Clota,61-90 m²,179
2017,7,Horta-Guinardó,43,Horta,61-90 m²,6741
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,61-90 m²,7220
2017,8,Nou Barris,45,Porta,61-90 m²,6028
