Year,Code_District,Name_Dist,Code_NBHD,Name_NBHD,Nationality,Amount,Average_Age
2018,3,Sants-Montjuïc,17,Sants - Badal,Spaniards,8026,49.2
2018,3,Sants-Montjuïc,18,Sants,Spaniards,13872,48.0
2018,4,Les Corts,19,les Corts,Spaniards,16351,48.3
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Spaniards,8330,48.6
2018,4,Les Corts,21,Pedralbes,Spaniards,3342,46.7
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Spaniards,1248,41.2
2018,5,Sarrià-Sant Gervasi,23,Sarrià,Spaniards,7378,44.1
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,Spaniards,4789,43.1
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Spaniards,7890,44.7
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Spaniards,15422,45.7
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Spaniards,10013,45.4
2018,6,Gràcia,28,Vallcarca i els Penitents,Spaniards,5335,47.1
2018,6,Gràcia,29,el Coll,Spaniards,2550,46.6
2018,6,Gràcia,30,la Salut,Spaniards,4494,48.3
2018,6,Gràcia,31,la Vila de Gràcia,Spaniards,17061,47.0
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Spaniards,12369,48.3
2018,7,Horta-Guinardó,33,el Baix Guinardó,Spaniards,9021,49.4
2018,7,Horta-Guinardó,34,Can Baró,Spaniards,3159,48.2
2018,7,Horta-Guinardó,35,el Guinardó,Spaniards,12777,47.8
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Spaniards,3364,46.4
2018,7,Horta-Guinardó,37,el Carmel,Spaniards,10771,47.8
2018,7,Horta-Guinardó,38,la Teixonera,Spaniards,4030,47.3
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,Spaniards,2458,50.2
2018,7,Horta-Guinardó,40,Montbau,Spaniards,1857,51.9
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Spaniards,2119,48.1
2018,7,Horta-Guinardó,42,la Clota,Spaniards,235,40.5
2018,7,Horta-Guinardó,43,Horta,Spaniards,9451,48.4
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Spaniards,9016,49.4
2018,8,Nou Barris,45,Porta,Spaniards,8675,49.7
2018,8,Nou Barris,46,el Turó de la Peira,Spaniards,4851,50.6
2018,8,Nou Barris,47,Can Peguera,Spaniards,821,47.1
2018,8,Nou Barris,48,la Guineueta,Spaniards,5662,49.3
2018,8,Nou Barris,49,Canyelles,Spaniards,2648,48.6
2018,8,Nou Barris,50,les Roquetes,Spaniards,4644,45.9
2018,8,Nou Barris,51,Verdun,Spaniards,4139,49.2
2018,8,Nou Barris,52,la Prosperitat,Spaniards,9168,49.4
2018,8,Nou Barris,53,la Trinitat Nova,Spaniards,2327,47.2
2018,8,Nou Barris,54,Torre Baró,Spaniards,747,41.2
2018,8,Nou Barris,55,Ciutat Meridiana,Spaniards,2585,47.5
2018,8,Nou Barris,56,Vallbona,Spaniards,396,43.7
2018,9,Sant Andreu,57,la Trinitat Vella,Spaniards,2471,45.4
2018,9,Sant Andreu,58,Baró de Viver,Spaniards,824,43.5
2018,9,Sant Andreu,59,el Bon Pastor,Spaniards,3849,43.0
