Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Us_del_local,Nombre
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Comerç,809
2017,4,Les Corts,21,Pedralbes,Comerç,232
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Comerç,160
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Comerç,1219
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Comerç,482
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Comerç,1217
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Comerç,3893
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Comerç,1390
2017,6,Gràcia,28,Vallcarca i els Penitents,Comerç,601
2017,6,Gràcia,29,el Coll,Comerç,272
2017,6,Gràcia,30,la Salut,Comerç,530
2017,6,Gràcia,31,la Vila de Gràcia,Comerç,3764
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Comerç,1530
2017,7,Horta-Guinardó,33,el Baix Guinardó,Comerç,997
2017,7,Horta-Guinardó,34,Can Baró,Comerç,333
2017,7,Horta-Guinardó,35,el Guinardó,Comerç,1756
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Comerç,194
2017,7,Horta-Guinardó,37,el Carmel,Comerç,1421
2017,7,Horta-Guinardó,38,la Teixonera,Comerç,634
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Comerç,177
2017,7,Horta-Guinardó,40,Montbau,Comerç,159
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Comerç,80
2017,7,Horta-Guinardó,42,la Clota,Comerç,37
2017,7,Horta-Guinardó,43,Horta,Comerç,1369
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Comerç,1239
2017,8,Nou Barris,45,Porta,Comerç,995
2017,8,Nou Barris,46,el Turó de la Peira,Comerç,793
2017,8,Nou Barris,47,Can Peguera,Comerç,40
2017,8,Nou Barris,48,la Guineueta,Comerç,601
2017,8,Nou Barris,49,Canyelles,Comerç,210
2017,8,Nou Barris,50,les Roquetes,Comerç,646
2017,8,Nou Barris,51,Verdun,Comerç,615
2017,8,Nou Barris,52,la Prosperitat,Comerç,985
2017,8,Nou Barris,53,la Trinitat Nova,Comerç,213
2017,8,Nou Barris,54,Torre Baró,Comerç,120
2017,8,Nou Barris,55,Ciutat Meridiana,Comerç,287
2017,8,Nou Barris,56,Vallbona,Comerç,105
2017,9,Sant Andreu,57,la Trinitat Vella,Comerç,393
2017,9,Sant Andreu,58,Baró de Viver,Comerç,101
2017,9,Sant Andreu,59,el Bon Pastor,Comerç,768
2017,9,Sant Andreu,60,Sant Andreu,Comerç,2832
2017,9,Sant Andreu,61,la Sagrera,Comerç,1360
2017,9,Sant Andreu,62,el Congrés i els Indians,Comerç,774
2017,9,Sant Andreu,63,Navas,Comerç,868
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Comerç,1301
2017,10,Sant Martí,65,el Clot,Comerç,1319
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Comerç,1152
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Comerç,386
2017,10,Sant Martí,68,el Poblenou,Comerç,1689
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Comerç,469
2017,10,Sant Martí,70,el Besòs i el Maresme,Comerç,700
2017,10,Sant Martí,71,Provençals del Poblenou,Comerç,505
2017,10,Sant Martí,72,Sant Martí de Provençals,Comerç,991
2017,10,Sant Martí,73,la Verneda i la Pau,Comerç,1162
2017,99,No consta,99,No consta,Comerç,0
2017,1,Ciutat Vella,1,el Raval,Indústria,1547
2017,1,Ciutat Vella,2,el Barri Gòtic,Indústria,1940
2017,1,Ciutat Vella,3,la Barceloneta,Indústria,85
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Indústria,968
2017,2,Eixample,5,el Fort Pienc,Indústria,908
2017,2,Eixample,6,la Sagrada Família,Indústria,1250
2017,2,Eixample,7,la Dreta de l'Eixample,Indústria,2736
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Indústria,1858
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Indústria,1574
2017,2,Eixample,10,Sant Antoni,Indústria,1367
2017,3,Sants-Montjuïc,11,el Poble Sec,Indústria,1421
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Indústria,1895
2017,3,Sants-Montjuïc,13,la Marina de Port,Indústria,693
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Indústria,214
2017,3,Sants-Montjuïc,15,Hostafrancs,Indústria,690
2017,3,Sants-Montjuïc,16,la Bordeta,Indústria,417
2017,3,Sants-Montjuïc,17,Sants - Badal,Indústria,819
2017,3,Sants-Montjuïc,18,Sants,Indústria,1993
2017,4,Les Corts,19,les Corts,Indústria,1886
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Indústria,943
2017,4,Les Corts,21,Pedralbes,Indústria,290
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Indústria,366
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Indústria,1088
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Indústria,1042
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Indústria,874
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Indústria,2646
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Indústria,1360
2017,6,Gràcia,28,Vallcarca i els Penitents,Indústria,511
2017,6,Gràcia,29,el Coll,Indústria,237
2017,6,Gràcia,30,la Salut,Indústria,441
2017,6,Gràcia,31,la Vila de Gràcia,Indústria,2492
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Indústria,1831
2017,7,Horta-Guinardó,33,el Baix Guinardó,Indústria,589
2017,7,Horta-Guinardó,34,Can Baró,Indústria,414
2017,7,Horta-Guinardó,35,el Guinardó,Indústria,1423
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Indústria,463
2017,7,Horta-Guinardó,37,el Carmel,Indústria,1251
2017,7,Horta-Guinardó,38,la Teixonera,Indústria,453
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Indústria,124
2017,7,Horta-Guinardó,40,Montbau,Indústria,497
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Indústria,274
2017,7,Horta-Guinardó,42,la Clota,Indústria,56
2017,7,Horta-Guinardó,43,Horta,Indústria,968
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Indústria,735
2017,8,Nou Barris,45,Porta,Indústria,558
2017,8,Nou Barris,46,el Turó de la Peira,Indústria,360
2017,8,Nou Barris,47,Can Peguera,Indústria,18
2017,8,Nou Barris,48,la Guineueta,Indústria,263
2017,8,Nou Barris,49,Canyelles,Indústria,73
2017,8,Nou Barris,50,les Roquetes,Indústria,644
2017,8,Nou Barris,51,Verdun,Indústria,186
2017,8,Nou Barris,52,la Prosperitat,Indústria,752
2017,8,Nou Barris,53,la Trinitat Nova,Indústria,68
2017,8,Nou Barris,54,Torre Baró,Indústria,186
2017,8,Nou Barris,55,Ciutat Meridiana,Indústria,154
2017,8,Nou Barris,56,Vallbona,Indústria,108
2017,9,Sant Andreu,57,la Trinitat Vella,Indústria,309
2017,9,Sant Andreu,58,Baró de Viver,Indústria,104
2017,9,Sant Andreu,59,el Bon Pastor,Indústria,1912
2017,9,Sant Andreu,60,Sant Andreu,Indústria,2234
2017,9,Sant Andreu,61,la Sagrera,Indústria,935
2017,9,Sant Andreu,62,el Congrés i els Indians,Indústria,446
2017,9,Sant Andreu,63,Navas,Indústria,484
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Indústria,1229
2017,10,Sant Martí,65,el Clot,Indústria,576
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Indústria,2134
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Indústria,777
2017,10,Sant Martí,68,el Poblenou,Indústria,1320
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Indústria,163
2017,10,Sant Martí,70,el Besòs i el Maresme,Indústria,478
2017,10,Sant Martí,71,Provençals del Poblenou,Indústria,1385
2017,10,Sant Martí,72,Sant Martí de Provençals,Indústria,1003
2017,10,Sant Martí,73,la Verneda i la Pau,Indústria,1377
2017,99,No consta,99,No consta,Indústria,0
2017,1,Ciutat Vella,1,el Raval,Oficines,867
2017,1,Ciutat Vella,2,el Barri Gòtic,Oficines,1156
2017,1,Ciutat Vella,3,la Barceloneta,Oficines,152
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Oficines,770
2017,2,Eixample,5,el Fort Pienc,Oficines,639
2017,2,Eixample,6,la Sagrada Família,Oficines,746
2017,2,Eixample,7,la Dreta de l'Eixample,Oficines,5996
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Oficines,1863
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Oficines,1738
2017,2,Eixample,10,Sant Antoni,Oficines,797
2017,3,Sants-Montjuïc,11,el Poble Sec,Oficines,333
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Oficines,533
2017,3,Sants-Montjuïc,13,la Marina de Port,Oficines,242
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Oficines,66
2017,3,Sants-Montjuïc,15,Hostafrancs,Oficines,225
2017,3,Sants-Montjuïc,16,la Bordeta,Oficines,229
2017,3,Sants-Montjuïc,17,Sants - Badal,Oficines,164
2017,3,Sants-Montjuïc,18,Sants,Oficines,385
2017,4,Les Corts,19,les Corts,Oficines,1660
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Oficines,427
2017,4,Les Corts,21,Pedralbes,Oficines,307
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Oficines,14
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Oficines,297
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Oficines,359
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Oficines,533
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Oficines,3225
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Oficines,619
2017,6,Gràcia,28,Vallcarca i els Penitents,Oficines,116
2017,6,Gràcia,29,el Coll,Oficines,63
2017,6,Gràcia,30,la Salut,Oficines,119
2017,6,Gràcia,31,la Vila de Gràcia,Oficines,909
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Oficines,394
2017,7,Horta-Guinardó,33,el Baix Guinardó,Oficines,166
2017,7,Horta-Guinardó,34,Can Baró,Oficines,42
2017,7,Horta-Guinardó,35,el Guinardó,Oficines,221
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Oficines,43
2017,7,Horta-Guinardó,37,el Carmel,Oficines,89
2017,7,Horta-Guinardó,38,la Teixonera,Oficines,37
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Oficines,15
2017,7,Horta-Guinardó,40,Montbau,Oficines,22
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Oficines,2
2017,7,Horta-Guinardó,42,la Clota,Oficines,0
2017,7,Horta-Guinardó,43,Horta,Oficines,100
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Oficines,144
2017,8,Nou Barris,45,Porta,Oficines,140
2017,8,Nou Barris,46,el Turó de la Peira,Oficines,27
2017,8,Nou Barris,47,Can Peguera,Oficines,0
2017,8,Nou Barris,48,la Guineueta,Oficines,80
2017,8,Nou Barris,49,Canyelles,Oficines,35
2017,8,Nou Barris,50,les Roquetes,Oficines,23
2017,8,Nou Barris,51,Verdun,Oficines,28
2017,8,Nou Barris,52,la Prosperitat,Oficines,54
2017,8,Nou Barris,53,la Trinitat Nova,Oficines,0
2017,8,Nou Barris,54,Torre Baró,Oficines,0
2017,8,Nou Barris,55,Ciutat Meridiana,Oficines,24
2017,8,Nou Barris,56,Vallbona,Oficines,0
2017,9,Sant Andreu,57,la Trinitat Vella,Oficines,30
2017,9,Sant Andreu,58,Baró de Viver,Oficines,2
2017,9,Sant Andreu,59,el Bon Pastor,Oficines,365
2017,9,Sant Andreu,60,Sant Andreu,Oficines,258
2017,9,Sant Andreu,61,la Sagrera,Oficines,348
2017,9,Sant Andreu,62,el Congrés i els Indians,Oficines,69
2017,9,Sant Andreu,63,Navas,Oficines,149
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Oficines,235
2017,10,Sant Martí,65,el Clot,Oficines,136
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Oficines,648
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Oficines,145
2017,10,Sant Martí,68,el Poblenou,Oficines,469
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Oficines,231
2017,10,Sant Martí,70,el Besòs i el Maresme,Oficines,193
2017,10,Sant Martí,71,Provençals del Poblenou,Oficines,240
2017,10,Sant Martí,72,Sant Martí de Provençals,Oficines,119
2017,10,Sant Martí,73,la Verneda i la Pau,Oficines,133
2017,99,No consta,99,No consta,Oficines,0
2017,1,Ciutat Vella,1,el Raval,Ensenyament,236
2017,1,Ciutat Vella,2,el Barri Gòtic,Ensenyament,237
2017,1,Ciutat Vella,3,la Barceloneta,Ensenyament,64
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ensenyament,141
2017,2,Eixample,5,el Fort Pienc,Ensenyament,65
2017,2,Eixample,6,la Sagrada Família,Ensenyament,51
2017,2,Eixample,7,la Dreta de l'Eixample,Ensenyament,413
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ensenyament,240
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Ensenyament,213
2017,2,Eixample,10,Sant Antoni,Ensenyament,92
2017,3,Sants-Montjuïc,11,el Poble Sec,Ensenyament,165
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Ensenyament,28
2017,3,Sants-Montjuïc,13,la Marina de Port,Ensenyament,76
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Ensenyament,31
2017,3,Sants-Montjuïc,15,Hostafrancs,Ensenyament,109
2017,3,Sants-Montjuïc,16,la Bordeta,Ensenyament,54
2017,3,Sants-Montjuïc,17,Sants - Badal,Ensenyament,33
2017,3,Sants-Montjuïc,18,Sants,Ensenyament,169
2017,4,Les Corts,19,les Corts,Ensenyament,146
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Ensenyament,334
2017,4,Les Corts,21,Pedralbes,Ensenyament,445
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Ensenyament,59
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Ensenyament,368
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Ensenyament,70
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Ensenyament,437
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Ensenyament,302
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Ensenyament,183
2017,6,Gràcia,28,Vallcarca i els Penitents,Ensenyament,91
2017,6,Gràcia,29,el Coll,Ensenyament,28
2017,6,Gràcia,30,la Salut,Ensenyament,75
2017,6,Gràcia,31,la Vila de Gràcia,Ensenyament,252
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Ensenyament,83
2017,7,Horta-Guinardó,33,el Baix Guinardó,Ensenyament,142
2017,7,Horta-Guinardó,34,Can Baró,Ensenyament,35
2017,7,Horta-Guinardó,35,el Guinardó,Ensenyament,174
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Ensenyament,142
2017,7,Horta-Guinardó,37,el Carmel,Ensenyament,109
2017,7,Horta-Guinardó,38,la Teixonera,Ensenyament,21
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Ensenyament,49
2017,7,Horta-Guinardó,40,Montbau,Ensenyament,99
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Ensenyament,21
