Year,Trimester,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Thousands_Euros,Euros_M2,Type_y
2019,1,4,Les Corts,20,la Maternitat i Sant Ramon,410.5,4551.1,Used
2019,1,4,Les Corts,21,Pedralbes,1016.0,6064.2,Used
2019,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",380.6,4614.6,Used
2019,1,5,Sarrià-Sant Gervasi,23,Sarrià,747.3,6404.8,Used
2019,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,853.2,6191.4,Used
2019,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,794.6,5666.7,Used
2019,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,553.6,4986.4,Used
2019,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,452.6,4503.1,Used
2019,1,6,Gràcia,28,Vallcarca i els Penitents,289.0,3402.8,Used
2019,1,6,Gràcia,29,el Coll,228.6,2958.2,Used
2019,1,6,Gràcia,30,la Salut,379.6,4314.3,Used
2019,1,6,Gràcia,31,la Vila de Gràcia,470.2,5270.0,Used
2019,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,340.5,4254.0,Used
2019,1,7,Horta-Guinardó,33,el Baix Guinardó,280.3,3915.2,Used
2019,1,7,Horta-Guinardó,34,Can Baró,252.2,3575.2,Used
2019,1,7,Horta-Guinardó,35,el Guinardó,262.8,3307.8,Used
2019,1,7,Horta-Guinardó,36,la Font d'en Fargues,205.1,2410.5,Used
2019,1,7,Horta-Guinardó,37,el Carmel,232.0,2764.6,Used
2019,1,7,Horta-Guinardó,38,la Teixonera,153.3,2337.9,Used
2019,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,170.9,2392.7,Used
2019,1,7,Horta-Guinardó,40,Montbau,167.3,2399.3,Used
2019,1,7,Horta-Guinardó,41,la Vall d'Hebron,222.3,4268.2,Used
2019,1,7,Horta-Guinardó,42,la Clota,,,Used
2019,1,7,Horta-Guinardó,43,Horta,268.8,3309.4,Used
2019,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,229.1,3592.9,Used
2019,1,8,Nou Barris,45,Porta,179.7,2762.8,Used
2019,1,8,Nou Barris,46,el Turó de la Peira,147.0,2322.2,Used
2019,1,8,Nou Barris,47,Can Peguera,,,Used
2019,1,8,Nou Barris,48,la Guineueta,194.9,2779.0,Used
2019,1,8,Nou Barris,49,Canyelles,150.0,2112.7,Used
2019,1,8,Nou Barris,50,les Roquetes,156.7,2811.6,Used
2019,1,8,Nou Barris,51,Verdun,148.2,2298.0,Used
2019,1,8,Nou Barris,52,la Prosperitat,150.6,2155.3,Used
2019,1,8,Nou Barris,53,la Trinitat Nova,80.0,1568.6,Used
2019,1,8,Nou Barris,54,Torre Baró,,,Used
2019,1,8,Nou Barris,55,Ciutat Meridiana,95.2,1533.1,Used
2019,1,8,Nou Barris,56,Vallbona,,,Used
2019,1,9,Sant Andreu,57,la Trinitat Vella,154.7,2440.8,Used
2019,1,9,Sant Andreu,58,Baró de Viver,,,Used
2019,1,9,Sant Andreu,59,el Bon Pastor,148.1,2213.8,Used
2019,1,9,Sant Andreu,60,Sant Andreu,213.1,2940.4,Used
2019,1,9,Sant Andreu,61,la Sagrera,240.4,3561.6,Used
2019,1,9,Sant Andreu,62,el Congrés i els Indians,256.7,3394.9,Used
2019,1,9,Sant Andreu,63,Navas,379.2,4505.9,Used
2019,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,311.0,3884.9,Used
2019,1,10,Sant Martí,65,el Clot,343.9,4132.6,Used
2019,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,259.2,4062.2,Used
2019,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,538.0,5485.5,Used
2019,1,10,Sant Martí,68,el Poblenou,363.4,4361.8,Used
2019,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,486.2,4519.9,Used
2019,1,10,Sant Martí,70,el Besòs i el Maresme,238.3,3420.3,Used
2019,1,10,Sant Martí,71,Provençals del Poblenou,389.7,4969.2,Used
2019,1,10,Sant Martí,72,Sant Martí de Provençals,302.3,3597.0,Used
2019,1,10,Sant Martí,73,la Verneda i la Pau,167.9,2471.0,Used
2019,2,1,Ciutat Vella,1,el Raval,208.9,3838.4,Total
2019,2,1,Ciutat Vella,2,el Barri Gòtic,434.5,5630.7,Total
2019,2,1,Ciutat Vella,3,la Barceloneta,218.8,4556.1,Total
2019,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",266.3,4032.7,Total
2019,2,2,Eixample,5,el Fort Pienc,845.8,6345.0,Total
2019,2,2,Eixample,6,la Sagrada Família,255.9,4414.2,Total
2019,2,2,Eixample,7,la Dreta de l'Eixample,584.6,5554.0,Total
2019,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,492.9,5013.7,Total
2019,2,2,Eixample,9,la Nova Esquerra de l'Eixample,293.2,4198.2,Total
2019,2,2,Eixample,10,Sant Antoni,310.9,4223.3,Total
2019,2,3,Sants-Montjuïc,11,el Poble Sec,269.6,4003.6,Total
2019,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,,,Total
