Year,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Gender,Nationality,Age,Amount
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Spaniards,30-34 anys,904
2017,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Spaniards,30-34 anys,647
2017,7,Horta-Guinardó,34,Can Baró,Dona,Spaniards,30-34 anys,230
2017,7,Horta-Guinardó,35,el Guinardó,Dona,Spaniards,30-34 anys,893
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Spaniards,30-34 anys,219
2017,7,Horta-Guinardó,37,el Carmel,Dona,Spaniards,30-34 anys,773
2017,7,Horta-Guinardó,38,la Teixonera,Dona,Spaniards,30-34 anys,250
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Spaniards,30-34 anys,137
2017,7,Horta-Guinardó,40,Montbau,Dona,Spaniards,30-34 anys,86
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Spaniards,30-34 anys,123
2017,7,Horta-Guinardó,42,la Clota,Dona,Spaniards,30-34 anys,35
2017,7,Horta-Guinardó,43,Horta,Dona,Spaniards,30-34 anys,611
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Spaniards,30-34 anys,553
2017,8,Nou Barris,45,Porta,Dona,Spaniards,30-34 anys,521
2017,8,Nou Barris,46,el Turó de la Peira,Dona,Spaniards,30-34 anys,266
2017,8,Nou Barris,47,Can Peguera,Dona,Spaniards,30-34 anys,42
2017,8,Nou Barris,48,la Guineueta,Dona,Spaniards,30-34 anys,310
2017,8,Nou Barris,49,Canyelles,Dona,Spaniards,30-34 anys,154
2017,8,Nou Barris,50,les Roquetes,Dona,Spaniards,30-34 anys,352
2017,8,Nou Barris,51,Verdun,Dona,Spaniards,30-34 anys,271
2017,8,Nou Barris,52,la Prosperitat,Dona,Spaniards,30-34 anys,528
2017,8,Nou Barris,53,la Trinitat Nova,Dona,Spaniards,30-34 anys,148
2017,8,Nou Barris,54,Torre Baró,Dona,Spaniards,30-34 anys,73
2017,8,Nou Barris,55,Ciutat Meridiana,Dona,Spaniards,30-34 anys,175
