"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Edat_mitjana"
2014,8,"Nou Barris",53,"la Trinitat Nova","Tots estrangers","31.0"
2014,8,"Nou Barris",54,"Torre Baró","Tots estrangers","30.1"
2014,8,"Nou Barris",55,"Ciutat Meridiana","Tots estrangers","29.4"
2014,8,"Nou Barris",56,"Vallbona","Tots estrangers","29.7"
2014,9,"Sant Andreu",57,"la Trinitat Vella","Tots estrangers","32.9"
2014,9,"Sant Andreu",58,"Baró de Viver","Tots estrangers","30.4"
2014,9,"Sant Andreu",59,"el Bon Pastor","Tots estrangers","30.4"
2014,9,"Sant Andreu",60,"Sant Andreu","Tots estrangers","31.2"
2014,9,"Sant Andreu",61,"la Sagrera","Tots estrangers","31.9"
2014,9,"Sant Andreu",62,"el Congrés i els Indians","Tots estrangers","31.9"
2014,9,"Sant Andreu",63,"Navas","Tots estrangers","31.8"
2014,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Tots estrangers","31.7"
2014,10,"Sant Martí",65,"el Clot","Tots estrangers","32.6"
2014,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Tots estrangers","32.6"
2014,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Tots estrangers","31.5"
2014,10,"Sant Martí",68,"el Poblenou","Tots estrangers","33.6"
2014,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Tots estrangers","32.2"
2014,10,"Sant Martí",70,"el Besòs i el Maresme","Tots estrangers","32.0"
2014,10,"Sant Martí",71,"Provençals del Poblenou","Tots estrangers","30.5"
2014,10,"Sant Martí",72,"Sant Martí de Provençals","Tots estrangers","31.0"
2014,10,"Sant Martí",73,"la Verneda i la Pau","Tots estrangers","31.1"
2014,1,"Ciutat Vella",1,"el Raval","Llars mixtes","31.6"
2014,1,"Ciutat Vella",2,"el Barri Gòtic","Llars mixtes","33.3"
2014,1,"Ciutat Vella",3,"la Barceloneta","Llars mixtes","35.6"
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Llars mixtes","35.5"
2014,2,"Eixample",5,"el Fort Pienc","Llars mixtes","34.2"
2014,2,"Eixample",6,"la Sagrada Família","Llars mixtes","36.6"
2014,2,"Eixample",7,"la Dreta de l'Eixample","Llars mixtes","36.4"
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Llars mixtes","37.2"
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Llars mixtes","36.7"
2014,2,"Eixample",10,"Sant Antoni","Llars mixtes","36.0"
2014,3,"Sants-Montjuïc",11,"el Poble Sec","Llars mixtes","35.3"
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Llars mixtes","33.9"
2014,3,"Sants-Montjuïc",13,"la Marina de Port","Llars mixtes","35.4"
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Llars mixtes","33.6"
2014,3,"Sants-Montjuïc",15,"Hostafrancs","Llars mixtes","35.8"
2014,3,"Sants-Montjuïc",16,"la Bordeta","Llars mixtes","34.5"
2014,3,"Sants-Montjuïc",17,"Sants - Badal","Llars mixtes","33.9"
2014,3,"Sants-Montjuïc",18,"Sants","Llars mixtes","34.6"
2014,4,"Les Corts",19,"les Corts","Llars mixtes","35.1"
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon","Llars mixtes","37.7"
2014,4,"Les Corts",21,"Pedralbes","Llars mixtes","35.6"
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Llars mixtes","39.2"
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià","Llars mixtes","37.1"
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Llars mixtes","36.6"
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Llars mixtes","35.8"
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Llars mixtes","38.0"
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Llars mixtes","37.9"
2014,6,"Gràcia",28,"Vallcarca i els Penitents","Llars mixtes","36.6"
2014,6,"Gràcia",29,"el Coll","Llars mixtes","35.1"
2014,6,"Gràcia",30,"la Salut","Llars mixtes","33.9"
2014,6,"Gràcia",31,"la Vila de Gràcia","Llars mixtes","36.6"
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Llars mixtes","35.0"
2014,7,"Horta-Guinardó",33,"el Baix Guinardó","Llars mixtes","35.5"
2014,7,"Horta-Guinardó",34,"Can Baró","Llars mixtes","37.6"
2014,7,"Horta-Guinardó",35,"el Guinardó","Llars mixtes","34.0"
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues","Llars mixtes","34.5"
2014,7,"Horta-Guinardó",37,"el Carmel","Llars mixtes","36.9"
2014,7,"Horta-Guinardó",38,"la Teixonera","Llars mixtes","31.7"
